Id,currentVal
1,24.8
2,24.8
3,24.8
4,24.6
5,24.6
6,24.8
7,24.8
8,24.6
9,24.6
10,24.8
11,24.6
12,24.6
13,24.6
14,24.6
15,24.6
16,24.6
17,24.6
18,24.8
19,24.6
20,24.6
21,24.5
22,24.6
23,24.6
24,24.6
25,24.5
26,24.6
27,24.6
28,24.6
29,24.6
30,24.6
31,24.6
32,24.6
33,24.6
34,24.6
35,24.6
36,24.6
37,24.6
38,24.6
39,24.6
40,24.6
41,24.6
42,24.6
43,24.6
44,24.6
45,24.5
46,24.6
47,24.6
48,24.6
49,24.6
50,24.6
51,24.6
52,24.6
53,24.6
54,24.6
55,24.5
56,24.6
57,24.6
58,24.5
59,24.6
60,24.5
61,24.5
62,24.6
63,24.6
64,24.5
65,24.5
66,24.6
67,24.6
68,24.5
69,24.6
70,24.5
71,24.6
72,24.6
73,24.5
74,24.6
75,24.6
76,24.6
77,24.6
78,24.5
79,24.6
80,24.6
81,24.5
82,24.6
83,24.6
84,24.6
85,24.5
86,24.5
87,24.6
88,24.5
89,24.6
90,24.5
91,24.6
92,24.5
93,24.6
94,24.6
95,24.6
96,24.6
97,24.5
98,24.6
99,24.6
100,24.5
101,24.6
102,24.6
103,24.6
104,24.6
105,24.6
106,24.6
107,24.6
108,24.6
109,24.6
110,24.5
111,24.5
112,24.6
113,24.6
114,24.6
115,24.6
116,24.5
117,24.5
118,24.5
119,24.6
120,24.6
121,24.5
122,24.5
123,24.6
124,24.5
125,24.5
126,24.5
127,24.6
128,24.5
129,24.6
130,24.6
131,24.5
132,24.5
133,24.6
134,24.6
135,24.6
136,24.5
137,24.5
138,24.6
139,24.6
140,24.6
141,24.5
142,24.6
143,24.6
144,24.9
145,25.2
146,25.8
147,26.4
148,26.7
149,27.3
150,27.7
151,28.2
152,28.8
153,29.3
154,29.8
155,30.3
156,31.1
157,31.5
158,31.8
159,31.7
160,32
161,32
162,32
163,31.9
164,31.7
165,31.8
166,31.7
167,31.8
168,31.7
169,31.5
170,31.5
171,31.5
172,31.5
173,31.3
174,31.1
175,31.1
176,31
177,31
178,31
179,31
180,30.6
181,30.6
182,30.4
183,30.4
184,30.4
185,30.3
186,30.2
187,30.1
188,30.2
189,30.1
190,30.1
191,29.9
192,29.8
193,29.9
194,29.8
195,29.6
196,29.6
197,29.6
198,29.6
199,29.8
200,30.4
201,30.8
202,30.8
203,31.1
204,31.1
205,31.3
206,31.3
207,31.2
208,31.3
209,31.3
210,31.2
211,31.2
212,31.3
213,31.2
214,31.1
215,31
216,31
217,31
218,30.8
219,31
220,30.6
221,30.8
222,30.6
223,30.4
224,30.4
225,30.4
226,30.4
227,30.3
228,30.3
229,30.3
230,30.2
231,30.1
232,30.1
233,29.9
234,29.9
235,29.8
236,29.9
237,29.8
238,29.6
239,29.7
240,29.4
241,29.4
242,29.4
243,29.4
244,29.4
245,29.3
246,29.3
247,29.3
248,29.1
249,29.1
250,29.1
251,29
252,29
253,29.1
254,29
255,28.9
256,29
257,28.9
258,28.8
259,28.7
260,28.9
261,28.7
262,28.7
263,28.7
264,28.7
265,28.7
266,28.6
267,28.6
268,28.4
269,28.6
270,28.4
271,28.4
272,28.4
273,28.4
274,28.4
275,28.4
276,28.3
277,28.2
278,28.2
279,28.2
280,28.1
281,28.1
282,28.1
283,28.1
284,28.1
285,28.1
286,28.1
287,28.1
288,28
289,28
290,28
291,28
292,28
293,28
294,28
295,27.9
296,27.8
297,27.8
298,27.8
299,27.8
300,27.8
301,27.8
302,27.8
303,27.7
304,27.7
305,27.7
306,27.7
307,27.7
308,27.7
309,27.7
310,27.6
311,27.5
312,27.5
313,27.5
314,27.5
315,27.5
316,27.4
317,27.5
318,27.5
319,27.4
320,27.5
321,27.5
322,27.4
323,27.4
324,27.5
325,27.4
326,27.4
327,27.4
328,27.4
329,27.2
330,27.2
331,27.2
332,27.2
333,27.2
334,27.4
335,27.2
336,27.2
337,27.5
338,27.7
339,28
340,28.3
341,28.7
342,29.2
343,29.6
344,30.2
345,30.8
346,31.3
347,31.5
348,31.8
349,32.2
350,32.5
351,32.5
352,32.7
353,32.7
354,32.9
355,32.9
356,32.9
357,32.9
358,32.9
359,33.1
360,33.1
361,32.9
362,32.9
363,32.9
364,32.9
365,32.9
366,32.7
367,32.7
368,32.7
369,32.6
370,32.6
371,32.6
372,32.4
373,32.4
374,32.4
375,32.2
376,32
377,32
378,32
379,32
380,31.8
381,31.8
382,31.7
383,31.6
384,31.6
385,31.5
386,31.5
387,31.3
388,31.3
389,31.3
390,31.1
391,31.1
392,30.9
393,30.9
394,30.9
395,30.8
396,30.8
397,30.8
398,30.6
399,30.6
400,30.6
401,30.4
402,30.2
403,30.2
404,30.2
405,30.2
406,30
407,30
408,30
409,29.9
410,29.8
411,29.9
412,29.7
413,29.6
414,29.7
415,29.7
416,29.6
417,29.4
418,29.4
419,29.4
420,29.4
421,29.3
422,29.4
423,29.2
424,29.2
425,29.1
426,29.2
427,29.1
428,29.1
429,29
430,29
431,29
432,29
433,29
434,28.8
435,28.8
436,28.9
437,28.8
438,28.8
439,28.8
440,28.7
441,28.8
442,28.7
443,28.7
444,28.7
445,28.7
446,28.5
447,28.5
448,28.5
449,28.5
450,28.5
451,28.5
452,28.4
453,28.4
454,28.4
455,28.4
456,28.2
457,28.4
458,28.1
459,28.2
460,28.4
461,28.2
462,28.2
463,28.1
464,28.2
465,28.2
466,28.2

